molecule,component,weight,normalizedComponentScore,weightedContribution,rawInputs,rationale,opportunityPriorityScore,priorityBand,primaryOpportunityReason,principalRisk,recommendedNextAction
Anagrelide,observableScaleScore,0.3,49.69,14.91,observedVolume=; dedicatedEstimatedValue=10000000.0,Combines log-scaled observed source volume with accepted dedicated notice estimate as supporting evidence.,32.45,Low,Dedicated molecule procedure with accepted notice estimate but limited observed volume coverage.,No observed source volume in collected prisskjema; estimate alone insufficient for pack-level bidding.,Request updated volume evidence and confirm whether 2507gj-1 cycle remains actionable before pricing work.
Anagrelide,contestabilityScore,0.25,0.0,0.0,supplierCount=0; topShare=; HHI=; coverage=0.0,Higher when multiple listed suppliers share observed volume with lower concentration; discounted when supplier-volume coverage is weak.,32.45,Low,Dedicated molecule procedure with accepted notice estimate but limited observed volume coverage.,No observed source volume in collected prisskjema; estimate alone insufficient for pack-level bidding.,Request updated volume evidence and confirm whether 2507gj-1 cycle remains actionable before pricing work.
Anagrelide,portfolioBreadthScore,0.2,39.58,7.92,products=5; strengths=1,Rewards addressable pack presentations without double-counting duplicate rows.,32.45,Low,Dedicated molecule procedure with accepted notice estimate but limited observed volume coverage.,No observed source volume in collected prisskjema; estimate alone insufficient for pack-level bidding.,Request updated volume evidence and confirm whether 2507gj-1 cycle remains actionable before pricing work.
Anagrelide,timingActionabilityScore,0.15,30.0,4.5,latestPublicationDate=2024-04-24; latestStatus=nan,Scored as-of 2026-08-14; open procedures score highest.,32.45,Low,Dedicated molecule procedure with accepted notice estimate but limited observed volume coverage.,No observed source volume in collected prisskjema; estimate alone insufficient for pack-level bidding.,Request updated volume evidence and confirm whether 2507gj-1 cycle remains actionable before pricing work.
Anagrelide,evidenceConfidenceScore,0.1,51.25,5.12,evidenceConfidence=Moderate (name + ATC; partial price/volume coverage); volumeCoveragePct=0.0,"Name+ATC confirmation, price/volume coverage, and document provenance; Axitinib capped for ATC-only confirmation.",32.45,Low,Dedicated molecule procedure with accepted notice estimate but limited observed volume coverage.,No observed source volume in collected prisskjema; estimate alone insufficient for pack-level bidding.,Request updated volume evidence and confirm whether 2507gj-1 cycle remains actionable before pricing work.
Axitinib,observableScaleScore,0.3,54.46,16.34,observedVolume=1175.0; dedicatedEstimatedValue=,Combines log-scaled observed source volume with accepted dedicated notice estimate as supporting evidence.,47.25,Medium,Documented oncology pack demand with price coverage but ATC-only confirmation and umbrella context.,ATC-only confirmation within oncology umbrella; no dedicated molecule estimate accepted.,Confirm INN-level row attribution and avoid allocating oncology umbrella values before pursuit decision.
Axitinib,contestabilityScore,0.25,37.0,9.25,supplierCount=1; topShare=1.0; HHI=1.0; coverage=100.0,Higher when multiple listed suppliers share observed volume with lower concentration; discounted when supplier-volume coverage is weak.,47.25,Medium,Documented oncology pack demand with price coverage but ATC-only confirmation and umbrella context.,ATC-only confirmation within oncology umbrella; no dedicated molecule estimate accepted.,Confirm INN-level row attribution and avoid allocating oncology umbrella values before pursuit decision.
Axitinib,portfolioBreadthScore,0.2,58.33,11.67,products=4; strengths=4,Rewards addressable pack presentations without double-counting duplicate rows.,47.25,Medium,Documented oncology pack demand with price coverage but ATC-only confirmation and umbrella context.,ATC-only confirmation within oncology umbrella; no dedicated molecule estimate accepted.,Confirm INN-level row attribution and avoid allocating oncology umbrella values before pursuit decision.
Axitinib,timingActionabilityScore,0.15,30.0,4.5,latestPublicationDate=2022-04-13; latestStatus=nan,Scored as-of 2026-08-14; open procedures score highest.,47.25,Medium,Documented oncology pack demand with price coverage but ATC-only confirmation and umbrella context.,ATC-only confirmation within oncology umbrella; no dedicated molecule estimate accepted.,Confirm INN-level row attribution and avoid allocating oncology umbrella values before pursuit decision.
Axitinib,evidenceConfidenceScore,0.1,55.0,5.5,evidenceConfidence=Moderate (ATC/brand only); volumeCoveragePct=100.0,"Name+ATC confirmation, price/volume coverage, and document provenance; Axitinib capped for ATC-only confirmation.",47.25,Medium,Documented oncology pack demand with price coverage but ATC-only confirmation and umbrella context.,ATC-only confirmation within oncology umbrella; no dedicated molecule estimate accepted.,Confirm INN-level row attribution and avoid allocating oncology umbrella values before pursuit decision.
Everolimus,observableScaleScore,0.3,0.0,0.0,observedVolume=; dedicatedEstimatedValue=,Combines log-scaled observed source volume with accepted dedicated notice estimate as supporting evidence.,29.08,Low,Recent competition notice with price schedules but no observed source volume in workbook.,Multi-molecule 2632a scope and missing volume limit qualification confidence.,Obtain Everolimus-specific lot volumes from 2632a documents before scenario modelling.
Everolimus,contestabilityScore,0.25,0.0,0.0,supplierCount=0; topShare=; HHI=; coverage=0.0,Higher when multiple listed suppliers share observed volume with lower concentration; discounted when supplier-volume coverage is weak.,29.08,Low,Recent competition notice with price schedules but no observed source volume in workbook.,Multi-molecule 2632a scope and missing volume limit qualification confidence.,Obtain Everolimus-specific lot volumes from 2632a documents before scenario modelling.
Everolimus,portfolioBreadthScore,0.2,79.17,15.83,products=6; strengths=5,Rewards addressable pack presentations without double-counting duplicate rows.,29.08,Low,Recent competition notice with price schedules but no observed source volume in workbook.,Multi-molecule 2632a scope and missing volume limit qualification confidence.,Obtain Everolimus-specific lot volumes from 2632a documents before scenario modelling.
Everolimus,timingActionabilityScore,0.15,50.0,7.5,latestPublicationDate=2025-06-24; latestStatus=nan,Scored as-of 2026-08-14; open procedures score highest.,29.08,Low,Recent competition notice with price schedules but no observed source volume in workbook.,Multi-molecule 2632a scope and missing volume limit qualification confidence.,Obtain Everolimus-specific lot volumes from 2632a documents before scenario modelling.
Everolimus,evidenceConfidenceScore,0.1,57.5,5.75,evidenceConfidence=Moderate (name + ATC; partial price/volume coverage); volumeCoveragePct=0.0,"Name+ATC confirmation, price/volume coverage, and document provenance; Axitinib capped for ATC-only confirmation.",29.08,Low,Recent competition notice with price schedules but no observed source volume in workbook.,Multi-molecule 2632a scope and missing volume limit qualification confidence.,Obtain Everolimus-specific lot volumes from 2632a documents before scenario modelling.
Lenalidomide,observableScaleScore,0.3,98.41,29.52,observedVolume=7188.0; dedicatedEstimatedValue=320000000.0,Combines log-scaled observed source volume with accepted dedicated notice estimate as supporting evidence.,67.77,High,Large accepted dedicated contract estimate with documented pack demand across strengths.,Single listed supplier concentration and historical procedure timing reduce near-term actionability.,Use dedicated estimate for qualification sizing; seek updated competition cycle and verified award/lot structure before bid/no-bid.
Lenalidomide,contestabilityScore,0.25,37.0,9.25,supplierCount=1; topShare=1.0; HHI=1.0; coverage=100.0,Higher when multiple listed suppliers share observed volume with lower concentration; discounted when supplier-volume coverage is weak.,67.77,High,Large accepted dedicated contract estimate with documented pack demand across strengths.,Single listed supplier concentration and historical procedure timing reduce near-term actionability.,Use dedicated estimate for qualification sizing; seek updated competition cycle and verified award/lot structure before bid/no-bid.
Lenalidomide,portfolioBreadthScore,0.2,93.75,18.75,products=7; strengths=7,Rewards addressable pack presentations without double-counting duplicate rows.,67.77,High,Large accepted dedicated contract estimate with documented pack demand across strengths.,Single listed supplier concentration and historical procedure timing reduce near-term actionability.,Use dedicated estimate for qualification sizing; seek updated competition cycle and verified award/lot structure before bid/no-bid.
Lenalidomide,timingActionabilityScore,0.15,30.0,4.5,latestPublicationDate=2021-06-15; latestStatus=nan,Scored as-of 2026-08-14; open procedures score highest.,67.77,High,Large accepted dedicated contract estimate with documented pack demand across strengths.,Single listed supplier concentration and historical procedure timing reduce near-term actionability.,Use dedicated estimate for qualification sizing; seek updated competition cycle and verified award/lot structure before bid/no-bid.
Lenalidomide,evidenceConfidenceScore,0.1,57.5,5.75,evidenceConfidence=Moderate (name + ATC; partial price/volume coverage); volumeCoveragePct=100.0,"Name+ATC confirmation, price/volume coverage, and document provenance; Axitinib capped for ATC-only confirmation.",67.77,High,Large accepted dedicated contract estimate with documented pack demand across strengths.,Single listed supplier concentration and historical procedure timing reduce near-term actionability.,Use dedicated estimate for qualification sizing; seek updated competition cycle and verified award/lot structure before bid/no-bid.
Paliperidone,observableScaleScore,0.3,70.0,21.0,observedVolume=8841.0; dedicatedEstimatedValue=,Combines log-scaled observed source volume with accepted dedicated notice estimate as supporting evidence.,79.97,High,Open 2601c competition with multi-supplier price schedules; four listed suppliers but only two with positive observed volume in collected data.,Listed suppliers are not verified award winners; two listed suppliers have explicit zero observed volume; 50 packs from LIS 2301d excluded from supplier concentration.,"Prioritise 2601c tender monitoring, confirm pack-level pricing for target strengths, and validate supplier incumbency outside price schedules."
Paliperidone,contestabilityScore,0.25,72.94,18.23,supplierCount=4; topShare=0.5715; HHI=0.51; coverage=99.4,Higher when multiple listed suppliers share observed volume with lower concentration; discounted when supplier-volume coverage is weak.,79.97,High,Open 2601c competition with multi-supplier price schedules; four listed suppliers but only two with positive observed volume in collected data.,Listed suppliers are not verified award winners; two listed suppliers have explicit zero observed volume; 50 packs from LIS 2301d excluded from supplier concentration.,"Prioritise 2601c tender monitoring, confirm pack-level pricing for target strengths, and validate supplier incumbency outside price schedules."
Paliperidone,portfolioBreadthScore,0.2,91.67,18.33,products=14; strengths=5,Rewards addressable pack presentations without double-counting duplicate rows.,79.97,High,Open 2601c competition with multi-supplier price schedules; four listed suppliers but only two with positive observed volume in collected data.,Listed suppliers are not verified award winners; two listed suppliers have explicit zero observed volume; 50 packs from LIS 2301d excluded from supplier concentration.,"Prioritise 2601c tender monitoring, confirm pack-level pricing for target strengths, and validate supplier incumbency outside price schedules."
Paliperidone,timingActionabilityScore,0.15,95.0,14.25,latestPublicationDate=2026-06-25; latestStatus=open,Scored as-of 2026-08-14; open procedures score highest.,79.97,High,Open 2601c competition with multi-supplier price schedules; four listed suppliers but only two with positive observed volume in collected data.,Listed suppliers are not verified award winners; two listed suppliers have explicit zero observed volume; 50 packs from LIS 2301d excluded from supplier concentration.,"Prioritise 2601c tender monitoring, confirm pack-level pricing for target strengths, and validate supplier incumbency outside price schedules."
Paliperidone,evidenceConfidenceScore,0.1,81.53,8.15,evidenceConfidence=High (name + ATC + document packs); volumeCoveragePct=100.0,"Name+ATC confirmation, price/volume coverage, and document provenance; Axitinib capped for ATC-only confirmation.",79.97,High,Open 2601c competition with multi-supplier price schedules; four listed suppliers but only two with positive observed volume in collected data.,Listed suppliers are not verified award winners; two listed suppliers have explicit zero observed volume; 50 packs from LIS 2301d excluded from supplier concentration.,"Prioritise 2601c tender monitoring, confirm pack-level pricing for target strengths, and validate supplier incumbency outside price schedules."
