priority,targetMolecule,noticeId,tenderRef,title,publicationDate,lifecycleStage,procedureKey,noticeUrl,procurementLandingPage,targetEvidence,evidenceLevel,isDistinctProcedure,likelyDocumentTypes,documentAccessClass,estimatedAdditionalPackRows,commercialValueOfAdding,duplicationRisk,recommendation,reason
1,Paliperidone,434619-2026,2601c,"Norway – Medical equipments, pharmaceuticals and personal care products – 2601c paliperidone",2026-06-25,competition,2601c,https://ted.europa.eu/en/notice/-/detail/434619-2026,https://sykehusinnkjop.ivalua.app/page.aspx/nb/bpm/process_manage_extranet/1281,paliperidone (notice title and description); dedicated active-ingredient tender,document_name,yes,"prisskjema; kravspesifikasjon; konkurransebestemmelser; virkestoffliste",public_landing_page (Ivalua; not Mercell),6-12,high,low,download_next,"Distinct 2026 procurement family (2601c) from LIS 2301d/682047-2022; molecule-specific cn-standard competition; only Paliperidone procedure with strong name evidence not yet in preview; Ivalua extranet process 1281 linked in cached TED XML; addresses largest coverage gap (2 preview rows)."
2,Paliperidone,667535-2022,2021/108,Voluntary ex-ante transparency notice - Entry into a contract for the procurement of various antipsychotics for the national preparedness reserves,2022-12-01,voluntary_ex_ante,2021/108,https://ted.europa.eu/en/notice/-/detail/667535-2022,,N05AX13; Xeplion depotinj 100mg/75mg/150mg (notice text),document_atc,yes,VEAT justification; possible preparedness quantity schedule,TED-only (no Mercell/Ivalua link in cache),0-3,low,high,useful_but_optional,"Distinct preparedness procedure (2021/108) from LIS 2301d; ATC and product-family evidence in cached XML but no paliperidone name match and no price-schedule attachment; likely overlaps Xeplion strengths already partially represented from 2301d prisskjema."
3,Axitinib,130232-2023,2022/1544,2307 Oncology,2023-03-03,competition,2307,https://ted.europa.eu/en/notice/-/detail/130232-2023,https://permalink.mercell.com/197314815.aspx,Oncology umbrella only; L01EK01/axitinib/inlyta absent from cached TED XML,document_dependent,yes,"prisskjema; virkestoffliste; kravspesifikasjon",public_landing_page (Mercell permalink),0-4,medium,medium,skip_weak_evidence,"Later oncology cycle than LIS 2207 (distinct tender year/reference) with public Mercell landing page, but zero axitinib/L01EK01/inlyta hits across 132 cached TED XML files; selecting on oncology title alone is not defensible without attachment inspection."
4,Axitinib,119155-2024,2023/1409,Norway – Pharmaceutical products – 2407 Oncology,2024-02-27,competition,2407,https://ted.europa.eu/en/notice/-/detail/119155-2024,,Oncology umbrella only; no axitinib/L01EK01 in cached XML,document_dependent,yes,"prisskjema; virkestoffliste",TED-only (no Mercell permalink in gap report row),0-4,medium,medium,skip_weak_evidence,"Distinct 2024 oncology family from LIS 2207 but same evidence gap as 2307: no notice-level axitinib confirmation; high risk of zero new L01EK01 rows after download."
5,Lenalidomide,335362-2021,LIS2234B,LIS 2234b Lenalidomide,2021-07-02,competition,LIS2234B,https://ted.europa.eu/en/notice/-/detail/335362-2021,https://www.mercell.com/m/file/GetFile.ashx?id=159475531&version=0,lenalidomide (notice title),document_name,yes,"revised prisskjema; kravspesifikasjon",login_wall,0-7,low,high,skip_access_wall,"Revised Lenalidomide competition (2234b) distinct from canonical LIS 2234 notice already in preview, but Mercell direct file URLs return HTTP 403 and preview already holds 7 Lenalidomide pack rows from local LIS 2234 documents."
6,Paliperidone,50675-2022,2022/227,LIS 2301d special pharmaceutical products subject to approval exemption - Prior information notice,2022-02-03,prior_information,LIS2301D,https://ted.europa.eu/en/notice/-/detail/50675-2022,,LIS 2301d family PIN; paliperidone not named in audited evidence,document_dependent,no,prior-information only,TED-only,0,low,high,skip_duplicate,"Prior-information notice for same LIS 2301d procurement family already represented by 682047-2022 and local 2301d seed documents; no pack-bearing value."
7,Paliperidone,629201-2022,2022/227,Voluntary ex-ante transparency notice - Additional contracts for LIS 2301d ureg,2022-11-24,voluntary_ex_ante,LIS2301D,https://ted.europa.eu/en/notice/-/detail/629201-2022,,LIS 2301d supplementary VEAT (related lifecycle),document_dependent,no,VEAT justification,TED-only,0,low,high,skip_duplicate,"Related LIS 2301d lifecycle notice with same tender reference 2022/227; would not add distinct pack rows beyond existing 2301d prisskjema extraction."
8,Lenalidomide,335380-2021,2021/118,LIS 2234 Lenalidomide,2021-07-02,award,LIS2234,https://ted.europa.eu/en/notice/-/detail/335380-2021,,lenalidomide (award notice for same procedure),document_name,no,contract award notice,TED-only,0,low,high,skip_duplicate,"Award notice for LIS 2234 procedure already covered by canonical competition notice 300984-2021 and local seed prisskjema; audited as non-canonical duplicate."
9,Lenalidomide,147880-2021,2021/118,LIS 2234 Lenalidomid Prior Information Notice,2021-03-24,prior_information,LIS2234,https://ted.europa.eu/en/notice/-/detail/147880-2021,,lenalidomid PIN,document_name,no,prior-information only,TED-only,0,low,high,skip_duplicate,"Prior-information notice for procedure already in preview via LIS 2234 competition documents."
10,Everolimus,404973-2025,2025/50837,Norway – Pharmaceutical products – 2632a Everolimus and Mykofenolic Acid (enterotablett),2025-06-24,competition,2632a,https://ted.europa.eu/en/notice/-/detail/404973-2025,,everolimus (notice title); already canonical in preview,document_name,no,prisskjema (already seeded),local_seed,0,low,high,skip_duplicate,"Canonical Everolimus procedure already fully represented in preview (6 rows) from local 2632a documents."
11,Anagrelide,244859-2024,2507gj-1,Norway – Pharmaceutical products – 2507gj-1 anagrelid,2024-04-24,competition,2507gj-1,https://ted.europa.eu/en/notice/-/detail/244859-2024,,anagrelid (notice title); already canonical in preview,document_name,no,prisskjema (already seeded),local_seed,0,low,high,skip_duplicate,"Canonical Anagrelide procedure already fully represented in preview (6 rows) from local seed documents."
12,Paliperidone,682047-2022,2022/227,"Voluntary ex-ante transparency notice - Supplementary contracts for LIS 2301d ureg, ATC codes J05AF01, N05AX13, N05CD08, P01CX04, S01AX18, S01EE09 and V03AB13",2022-12-08,voluntary_ex_ante,LIS2301D,https://ted.europa.eu/en/notice/-/detail/682047-2022,,Paliperidon/N05AX13; lot 90 named in notice,document_name,no,VEAT + existing local prisskjema,local_seed,0,low,high,skip_duplicate,"Already canonical Paliperidone notice in preview (2 Xeplion N05AX13 rows from local 2301d prisskjema); re-download would duplicate existing pack extraction."
